statue,statueLabel,height,creationDate,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q11693584,Monumento a la Marina Universal,25,1924-01-01T00:00:00Z,Испания,136,мрамор
http://www.wikidata.org/entity/Q11693584,Monumento a la Marina Universal,25,1924-01-01T00:00:00Z,Испания,136,гранит
http://www.wikidata.org/entity/Q11693584,Monumento a la Marina Universal,25,1924-01-01T00:00:00Z,Испания,136,бронза
http://www.wikidata.org/entity/Q3497632,Памятник Святому Вацлаву,720,1911-01-01T00:00:00Z,Чехия,217,камень
http://www.wikidata.org/entity/Q52001446,Monument to Francisco Fernández del Riego,3.06,2000-07-14T00:00:00Z,Испания,97,гранит
http://www.wikidata.org/entity/Q52001446,Monument to Francisco Fernández del Riego,3.06,2000-07-14T00:00:00Z,Испания,97,чугун
http://www.wikidata.org/entity/Q3497632,Памятник Святому Вацлаву,720,1911-01-01T00:00:00Z,Чехия,217,бронза
http://www.wikidata.org/entity/Q66659067,Monument to Manuel Barreiro Cabanelas,4.3,1942-01-01T00:00:00Z,Испания,23,гранит
http://www.wikidata.org/entity/Q66659067,Monument to Manuel Barreiro Cabanelas,4.3,1942-01-01T00:00:00Z,Испания,23,бронза
http://www.wikidata.org/entity/Q60441690,Monument to García Barbón,4.7,1927-09-28T00:00:00Z,Испания,10,гранит
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,краска
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,сталь
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,гранит
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,порфир
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,сиенит
http://www.wikidata.org/entity/Q60441690,Monument to García Barbón,4.7,1927-09-28T00:00:00Z,Испания,10,бронза
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,стекло
http://www.wikidata.org/entity/Q30063766,Парашютная вышка в Катовице,35,1937-01-01T00:00:00Z,Польша,300,сталь
http://www.wikidata.org/entity/Q32660126,Мемориал павшим советским воинам в Тиргартене,20,1945-01-01T00:00:00Z,Германия,35,бронза
http://www.wikidata.org/entity/Q138019133,Sagrado Corazón de Jesús,21,1925-08-12T00:00:00Z,Боливия,4087,бронза
http://www.wikidata.org/entity/Q65827165,"Monument to Méndez Núñez, Vigo",3.8,1890-08-22T00:00:00Z,Испания,16,гранит
http://www.wikidata.org/entity/Q65827165,"Monument to Méndez Núñez, Vigo",3.8,1890-08-22T00:00:00Z,Испания,16,бронза
http://www.wikidata.org/entity/Q106988888,Q106988888,1.7,2007-08-21T00:00:00Z,Бразилия,833,цемент
http://www.wikidata.org/entity/Q130603429,Q130603429,12.5,1902-01-01T00:00:00Z,Франция,2150,туф
http://www.wikidata.org/entity/Q130603429,Q130603429,12.5,1902-01-01T00:00:00Z,Франция,2150,бронза
http://www.wikidata.org/entity/Q4967183,Brigadier General Albert Pike,11,1901-01-01T00:00:00Z,США,33,бронза
http://www.wikidata.org/entity/Q47879701,La Belle Otero,1.75,2002-01-01T00:00:00Z,Испания,30,бронза
http://www.wikidata.org/entity/Q3497632,Памятник Святому Вацлаву,720,1912-01-01T00:00:00Z,Чехия,217,камень
http://www.wikidata.org/entity/Q3497632,Памятник Святому Вацлаву,720,1912-01-01T00:00:00Z,Чехия,217,бронза
http://www.wikidata.org/entity/Q20544873,The Horses,18,1991-04-30T00:00:00Z,Испания,101,бронза
http://www.wikidata.org/entity/Q61968686,Q61968686,1.8,2019-02-28T00:00:00Z,Испания,410,бронза
http://www.wikidata.org/entity/Q15077321,Памятник Андрею Сахарову,4.5,2001-01-01T00:00:00Z,Армения,1002,медь
http://www.wikidata.org/entity/Q4967183,Brigadier General Albert Pike,11,1901-01-01T00:00:00Z,США,33,декоративный гранит
http://www.wikidata.org/entity/Q15077321,Памятник Андрею Сахарову,4.5,2001-01-01T00:00:00Z,Армения,1002,базальт
