statue,statueLabel,height,inception,countryLabel,elevation,materialLabel
http://www.wikidata.org/entity/Q2235714,Schiller memorial,,1905-01-01T00:00:00Z,Германия,,
http://www.wikidata.org/entity/Q2245630,Антиной Фарнезский,200,0100-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2253731,Q2253731,138,-2050-01-01T00:00:00Z,,,песчаник
http://www.wikidata.org/entity/Q2254357,Другое место,,1997-01-01T00:00:00Z,Великобритания,,чугун
http://www.wikidata.org/entity/Q2294371,Аполлон Вейский,180,-0550-01-01T00:00:00Z,,,терракота
http://www.wikidata.org/entity/Q2334101,Statue of Hygieia by Timotheos,90,-0379-01-01T00:00:00Z,Греция,,Пентелийский мрамор
http://www.wikidata.org/entity/Q2334103,Shami statue,1.94,0100-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2334137,Statue of a Spartan warrior,,,,,мрамор
http://www.wikidata.org/entity/Q2334154,Statue of a youth wearing a chlamys,188,0140-01-01T00:00:00Z,Греция,,Пентелийский мрамор
http://www.wikidata.org/entity/Q2334185,Statuette of Nike,81,-0400-01-01T00:00:00Z,Греция,,паросский мрамор
http://www.wikidata.org/entity/Q2334191,Statuette of a woman,17,-0700-01-01T00:00:00Z,Греция,,Пентелийский мрамор
http://www.wikidata.org/entity/Q2350576,Monument 1872,7,1874-01-01T00:00:00Z,Нидерланды,,камень
http://www.wikidata.org/entity/Q2350576,Monument 1872,7,1874-01-01T00:00:00Z,Нидерланды,,известняк
http://www.wikidata.org/entity/Q2350576,Monument 1872,7,1874-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2364240,Венера Капуанская,220,-0200-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2384215,Le génie du mal,165,1848-01-01T00:00:00Z,Бельгия,,мрамор
http://www.wikidata.org/entity/Q2388701,Mother goddess from Saint-Aubin-sur-Mer,140,0200-01-01T00:00:00Z,Франция,,известняк
http://www.wikidata.org/entity/Q2396885,baptismal angel,,,,,
http://www.wikidata.org/entity/Q2402286,Tell Monument,,,Швейцария,,
http://www.wikidata.org/entity/Q2402570,Albert Einstein Memorial,12,1979-01-01T00:00:00Z,США,,бронза
http://www.wikidata.org/entity/Q2414167,Manneken-Pis de Colmar,,,Франция,,
http://www.wikidata.org/entity/Q2415504,Давид (Вероккьо),126,1460-01-01T00:00:00Z,Италия,,бронза
http://www.wikidata.org/entity/Q2415504,Давид (Вероккьо),126,1460-01-01T00:00:00Z,Флоренция,,бронза
http://www.wikidata.org/entity/Q2423708,"Santuario del Cristo Roto, San José de Gracia, Aguascalientes",,2006-01-01T00:00:00Z,Мексика,,сталь
http://www.wikidata.org/entity/Q2423708,"Santuario del Cristo Roto, San José de Gracia, Aguascalientes",,2006-01-01T00:00:00Z,Мексика,,бетон
http://www.wikidata.org/entity/Q2425086,Statue of Martin Schongauer by Frédéric Auguste Bartholdi,,1860-01-01T00:00:00Z,Франция,,Vosges sandstone
http://www.wikidata.org/entity/Q2429638,Taranto goddess,151,,Германия,,мрамор
http://www.wikidata.org/entity/Q2434231,Q2434231,,1998-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2437149,Рахиль,280,1545-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2437692,Лия,197,1545-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2438217,Дух победы,261,1532-01-01T00:00:00Z,,,piedra
http://www.wikidata.org/entity/Q2440879,Скорчившийся мальчик,54,1530-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2447876,Statue of Admiral Lord Nelson,,1839-01-01T00:00:00Z,Великобритания,,
http://www.wikidata.org/entity/Q2454248,Юный лучник,97,1491-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2457242,Trümmerfrau memorial,,1955-01-01T00:00:00Z,Германия,,ракушечник
http://www.wikidata.org/entity/Q2462568,Дама из Басы,133.5,-0400-01-01T00:00:00Z,Испания,,песчаник
http://www.wikidata.org/entity/Q2463638,Dancer of Pergamon,,-0200-01-01T00:00:00Z,Германия,,мрамор
http://www.wikidata.org/entity/Q2480782,Памятник псу Джоку,,2001-05-26T00:00:00Z,Польша,,
http://www.wikidata.org/entity/Q2495092,Statue Kardinaal van Rossum,,1934-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2507848,Statue of Paul Kruger,,1896-01-01T00:00:00Z,ЮАР,,
http://www.wikidata.org/entity/Q2511913,Памятник Маннергейму,,1960-01-01T00:00:00Z,Финляндия,,бронза
http://www.wikidata.org/entity/Q2511913,Памятник Маннергейму,,1960-01-01T00:00:00Z,Финляндия,,гранит
http://www.wikidata.org/entity/Q2514326,Wilhelmina of the Netherlands,,1968-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2520916,Wounded Gaul,,-0098-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2536007,"Een familiefoto, Woerden",,2002-01-01T00:00:00Z,Нидерланды,,керамика
http://www.wikidata.org/entity/Q2540035,Q2540035,,1991-01-01T00:00:00Z,Бельгия,,
http://www.wikidata.org/entity/Q2543426,Dancing Satyr of Mazara del Vallo,,-0400-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2551806,Бельведерский торс,159,,Италия,,мрамор
http://www.wikidata.org/entity/Q2555479,Атлант Фарнезе,185,0100-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2559830,Wenzelsbrunnen,,,Германия,,
http://www.wikidata.org/entity/Q2568227,Пирейский лев,,-0359-01-01T00:00:00Z,Италия,,мрамор
http://www.wikidata.org/entity/Q2572880,The Falling Man,,1951-01-01T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2578327,Marieke,,1988-01-01T00:00:00Z,Бельгия,,
http://www.wikidata.org/entity/Q2584518,Диана Версальская,201,0100-01-01T00:00:00Z,Франция,,мрамор
http://www.wikidata.org/entity/Q2586363,Q2586363,,,Германия,,бронза
http://www.wikidata.org/entity/Q2599051,Monument Koningin Wilhelmina,,1968-11-11T00:00:00Z,Нидерланды,,
http://www.wikidata.org/entity/Q2599445,The Goose,,,Нидерланды,,
http://www.wikidata.org/entity/Q2626926,Геркулес,,1492-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2626926,Геркулес,,1493-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2649664,Monumento a Almeida Garrett,,,Португалия,,бронза
http://www.wikidata.org/entity/Q2650290,Knielende vrouw met duif by Cor van Kralingen,,1965-01-01T00:00:00Z,Нидерланды,,бронза
http://www.wikidata.org/entity/Q2663959,Арес Боргезе,2.11,0200-01-01T00:00:00Z,,,мрамор
http://www.wikidata.org/entity/Q2667065,Марафонский юноша,,-0330-01-01T00:00:00Z,,,бронза
http://www.wikidata.org/entity/Q2668248,Эфеб с Антикитеры,,-0339-01-01T00:00:00Z,,,бронза
