film,filmLabel,capital_cost
http://www.wikidata.org/entity/Q1471965,Тяжёлый металл,9300000
http://www.wikidata.org/entity/Q1128756,Мэри и Макс,8240000
http://www.wikidata.org/entity/Q1129308,Рога и копыта,51000000
http://www.wikidata.org/entity/Q1131791,Жёлтая подводная лодка,1000000
http://www.wikidata.org/entity/Q1138751,Отчаянные псы,900000
http://www.wikidata.org/entity/Q1514402,Ренессанс,18000000
http://www.wikidata.org/entity/Q1263501,Утиные истории: Заветная лампа,20000000
http://www.wikidata.org/entity/Q1161289,Ловушка для кошек-2,3000000
http://www.wikidata.org/entity/Q1164767,Иллюзионист,11000000
http://www.wikidata.org/entity/Q1199692,Отважный маленький тостер,2300000
http://www.wikidata.org/entity/Q1361113,Винни и Слонотоп,20000000
http://www.wikidata.org/entity/Q1406374,Большой фильм про Поросёнка,35000000
http://www.wikidata.org/entity/Q1418615,Приключения кота Фрица,700000
http://www.wikidata.org/entity/Q1434522,Мухнём на Луну,25000000
http://www.wikidata.org/entity/Q980041,Приключения Тинтина: Тайна «Единорога»,140000000
http://www.wikidata.org/entity/Q1043425,Синдбад: Легенда семи морей (мультфильм),60000000
http://www.wikidata.org/entity/Q1051023,Франкенвини,39000000
http://www.wikidata.org/entity/Q1067080,Все псы попадают в рай,14000000
http://www.wikidata.org/entity/Q1072224,Чико и Рита,9.2
"http://www.wikidata.org/entity/Q971869,""Снупи, вернись домой"",1000000"
http://www.wikidata.org/entity/Q608079,Замок Калиостро,500000000
http://www.wikidata.org/entity/Q608079,Замок Калиостро,2300000
http://www.wikidata.org/entity/Q610262,Питер Пэн: Возвращение в Нетландию,20000000
http://www.wikidata.org/entity/Q610502,Муравей Антц,105000000
http://www.wikidata.org/entity/Q622763,Легенды ночных стражей,80000000
http://www.wikidata.org/entity/Q622851,Нико 2,7361000
http://www.wikidata.org/entity/Q622661,Нико: путь к звёздам,6113000
http://www.wikidata.org/entity/Q579928,Губка Боб Квадратные Штаны,30000000
http://www.wikidata.org/entity/Q559376,Тор: Легенда викингов,70000000
http://www.wikidata.org/entity/Q537407,Мулан,90000000
http://www.wikidata.org/entity/Q564661,Замбезия,20000000
http://www.wikidata.org/entity/Q570271,Медведь Йоги,80000000
http://www.wikidata.org/entity/Q583483,Клуб Винкс: Тайна затерянного королевства,25000000
"http://www.wikidata.org/entity/Q637169,""Облачно, возможны осадки в виде фрикаделек"",100000000"
http://www.wikidata.org/entity/Q632668,Коралина в Стране Кошмаров,60000000
http://www.wikidata.org/entity/Q637212,Гадкий я 2,76000000
http://www.wikidata.org/entity/Q640979,Правдивая история Красной Шапки,17500000
http://www.wikidata.org/entity/Q641315,Спирит: Душа прерий,80000000
http://www.wikidata.org/entity/Q641362,Университет монстров,200000000
http://www.wikidata.org/entity/Q862197,Полярный экспресс,165000000
http://www.wikidata.org/entity/Q876747,Правдивая история кота в сапогах,25000000
http://www.wikidata.org/entity/Q885148,Кровавый чай и красная ниточка,50000
http://www.wikidata.org/entity/Q785237,Q785237,600000000
http://www.wikidata.org/entity/Q888136,Сказание о принцессе Кагуя,49000000
http://www.wikidata.org/entity/Q840353,Приключения Десперо,60000000
http://www.wikidata.org/entity/Q852391,Золушка 2: Мечты сбываются,5000000
http://www.wikidata.org/entity/Q786594,Лоракс,70000000
http://www.wikidata.org/entity/Q779517,Трио из Бельвилля,8000000
http://www.wikidata.org/entity/Q866358,Дорога на Эльдорадо,95000000
http://www.wikidata.org/entity/Q785058,Шевели ластами!,38000000
http://www.wikidata.org/entity/Q757250,Большое путешествие,80000000
http://www.wikidata.org/entity/Q810858,Бэтмен: Маска Фантазма,6000000
http://www.wikidata.org/entity/Q816857,Делай ноги 2,135000000
http://www.wikidata.org/entity/Q817261,Возвращение Джафара,3500000
http://www.wikidata.org/entity/Q218894,Покахонтас,55000000
http://www.wikidata.org/entity/Q250378,Трансформеры,6000000
http://www.wikidata.org/entity/Q223359,Рио,90000000
http://www.wikidata.org/entity/Q240478,Огонь и лёд,1200000
http://www.wikidata.org/entity/Q270940,Цыплёнок Цыпа,150000000
http://www.wikidata.org/entity/Q244019,Карлик Нос,2500000
http://www.wikidata.org/entity/Q246418,Путешествия Гулливера,700000
http://www.wikidata.org/entity/Q246283,Холодное сердце,150000000
http://www.wikidata.org/entity/Q221679,В гости к Робинсонам,150000000
http://www.wikidata.org/entity/Q221947,Книга джунглей 2,20000000
http://www.wikidata.org/entity/Q270470,Питер Пэн,4000000
http://www.wikidata.org/entity/Q223163,Похождения императора,100000000
http://www.wikidata.org/entity/Q240852,Долина папоротников: Последний тропический лес,24000000
http://www.wikidata.org/entity/Q244247,Мадагаскар 3,145000000
http://www.wikidata.org/entity/Q245227,Принц Египта,70000000
http://www.wikidata.org/entity/Q245366,Лесная братва,80000000
http://www.wikidata.org/entity/Q249967,Монстры на каникулах,85000000
http://www.wikidata.org/entity/Q126796,Храбрая сердцем,185000000
http://www.wikidata.org/entity/Q40302,Лис и пёс,12000000
http://www.wikidata.org/entity/Q43051,Бэмби,1200000
http://www.wikidata.org/entity/Q28891,Ральф,165000000
http://www.wikidata.org/entity/Q36092,Лило и Стич,80000000
http://www.wikidata.org/entity/Q30937,Фантазия 2000,80000000
http://www.wikidata.org/entity/Q36479,Король Лев,45000000
http://www.wikidata.org/entity/Q74229,Хоббит,3000000
http://www.wikidata.org/entity/Q81205,Мегамозг,130000000
http://www.wikidata.org/entity/Q4447,Гадкий я,69000000
http://www.wikidata.org/entity/Q19090,Робин Гуд,1500000
http://www.wikidata.org/entity/Q59781,Титан: После гибели Земли,75000000
http://www.wikidata.org/entity/Q35951,Ледниковый период 4: Континентальный дрейф,95000000
http://www.wikidata.org/entity/Q120367,Подводная братва,75000000
http://www.wikidata.org/entity/Q39722,Спасатели,7500000
http://www.wikidata.org/entity/Q86791,Рождественская история,200000000
http://www.wikidata.org/entity/Q86791,Рождественская история,170000000
http://www.wikidata.org/entity/Q40895,Дамбо,950000
http://www.wikidata.org/entity/Q104905,ВАЛЛ•И,180000000
http://www.wikidata.org/entity/Q711918,Секретная служба Санта-Клауса,100000000
http://www.wikidata.org/entity/Q752301,Смывайся!,149000000
http://www.wikidata.org/entity/Q753677,Гномео и Джульетта,36000000
http://www.wikidata.org/entity/Q701973,Новые приключения Золушки,47000000
http://www.wikidata.org/entity/Q685785,9,30000000
http://www.wikidata.org/entity/Q645405,Альфа и Омега: Клыкастая братва,20000000
http://www.wikidata.org/entity/Q725842,Дом-монстр,75000000
http://www.wikidata.org/entity/Q681918,Монстры против пришельцев,175000000
http://www.wikidata.org/entity/Q704708,Астерикс завоёвывает Америку,19000000
http://www.wikidata.org/entity/Q965266,Дюймовочка,28000000
http://www.wikidata.org/entity/Q943192,Фантазия,2250000
http://www.wikidata.org/entity/Q901145,Интерстелла 5555: и5тория 5екретной 5олнечной 5истемы,4000000
http://www.wikidata.org/entity/Q903821,Шевели ластами 2,25
